1.00000, 0.87810, 0.82037, 0.69768, 0.45612, 0.47237, 0.65051, 0.33287, 0.64082, 0.59008, 0.37719, 0.63445, 0.50409, 0.62189, 0.51171, 0.66498, 0.40454, 0.81465, 0.85642, 0.51530, 0.46070, 0.30728, 0.13534, 0.06822, 0.06393, 0.03081, 0.02375, 0.02816, 0.16203, 0.59452, 0.80252, 0.94649, 1.00000, 1.00000, 1.00000, 1.00000, 1.00000, 1.00000, 1.00000, 1.00000
0.27253, 0.19790, 0.18825, 0.09827, 0.25284, 0.11475, 0.15567, 0.14086, 0.08501, 0.06891, 0.07353, 0.17817, 0.08501, 0.15183, 0.13738, 0.26316, 0.42656, 0.44264, 0.75957, 0.64082, 1.00000, 1.00000, 0.79852, 0.84789, 0.82283, 0.64404, 0.35169, 0.09209, 0.10699, 0.05260, 0.10861, 0.49164, 0.87810, 1.00000, 1.00000, 1.00000, 1.00000, 1.00000, 1.00000, 1.00000
0.01878, 0.01878, 0.00449, 0.01649, 0.00275, 0.00314, 0.00730, 0.00787, 0.00307, 0.00552, 0.01222, 0.00297, 0.01168, 0.00397, 0.01025, 0.01786, 0.03936, 0.04243, 0.30119, 0.23340, 0.68045, 0.48191, 0.66365, 0.92312, 1.00000, 1.00000, 1.00000, 0.80252, 0.69768, 0.32792, 0.17291, 0.06555, 0.11304, 0.66698, 0.98758, 1.00000, 1.00000, 1.00000, 1.00000, 1.00000
0.00438, 0.00074, 0.00068, 0.00089, 0.00142, 0.00201, 0.00441, 0.00341, 0.00275, 0.00385, 0.00287, 0.00294, 0.00201, 0.00263, 0.00441, 0.00848, 0.00549, 0.00657, 0.00874, 0.00756, 0.03065, 0.04856, 0.10228, 0.32142, 0.57984, 0.89583, 0.96031, 1.00000, 1.00000, 1.00000, 0.99950, 0.80654, 0.32956, 0.12246, 0.27390, 0.98216, 1.00000, 1.00000, 1.00000, 1.00000
0.00217, 0.00183, 0.00377, 0.00779, 0.00321, 0.01228, 0.02260, 0.04117, 0.08501, 0.11136, 0.07390, 0.05324, 0.05340, 0.09348, 0.09537, 0.05931, 0.04097, 0.01391, 0.03508, 0.02802, 0.01813, 0.01128, 0.01925, 0.01073, 0.03491, 0.10228, 0.24908, 0.69073, 0.96851, 1.00000, 1.00000, 1.00000, 1.00000, 1.00000, 0.77880, 0.44264, 0.92774, 1.00000, 1.00000, 1.00000
0.02182, 0.04665, 0.04460, 0.11824, 0.11707, 0.18919, 0.28508, 0.30728, 0.41895, 0.27804, 0.43171, 0.29083, 0.70117, 0.41066, 0.44933, 0.55683, 0.62500, 0.27943, 0.40052, 0.22091, 0.17377, 0.13876, 0.07465, 0.05234, 0.03127, 0.01974, 0.03159, 0.07136, 0.38674, 0.63763, 0.97580, 1.00000, 1.00000, 1.00000, 1.00000, 1.00000, 1.00000, 1.00000, 1.00000, 1.00000
0.10646, 0.09255, 0.19014, 0.09255, 0.07390, 0.08208, 0.10699, 0.07136, 0.15882, 0.05079, 0.12581, 0.13399, 0.30728, 0.27036, 0.11707, 0.50409, 0.34819, 0.73712, 0.75957, 0.74826, 0.80252, 0.72615, 0.58567, 0.59750, 0.49907, 0.32956, 0.05585, 0.03544, 0.04264, 0.04760, 0.19989, 0.59452, 0.96031, 1.00000, 1.00000, 1.00000, 1.00000, 1.00000, 1.00000, 1.00000
0.01545, 0.01145, 0.00734, 0.01994, 0.00791, 0.00375, 0.00304, 0.00655, 0.01094, 0.01657, 0.01073, 0.00719, 0.00883, 0.00933, 0.01246, 0.02352, 0.06425, 0.11824, 0.18087, 0.20393, 0.59156, 0.70469, 0.76721, 0.75201, 0.92960, 0.81873, 0.88250, 0.66698, 0.26580, 0.19495, 0.05901, 0.09633, 0.31822, 0.77492, 0.97580, 1.00000, 1.00000, 1.00000, 1.00000, 1.00000
0.00170, 0.00137, 0.00109, 0.00126, 0.00235, 0.00083, 0.00140, 0.00243, 0.00331, 0.00181, 0.00269, 0.00275, 0.00074, 0.00928, 0.00235, 0.00214, 0.00309, 0.00564, 0.00631, 0.01020, 0.03707, 0.06822, 0.22537, 0.39653, 0.61570, 0.88250, 1.00000, 0.92312, 1.00000, 0.87810, 0.71892, 0.52994, 0.17640, 0.14156, 0.42956, 0.99800, 1.00000, 1.00000, 1.00000, 1.00000
0.00113, 0.00080, 0.00075, 0.00122, 0.00370, 0.00465, 0.01240, 0.00557, 0.01448, 0.01133, 0.01297, 0.01000, 0.01742, 0.02248, 0.02086, 0.05872, 0.03615, 0.02692, 0.01777, 0.01925, 0.01412, 0.02423, 0.01878, 0.02510, 0.03065, 0.26580, 0.46767, 0.85642, 0.95123, 1.00000, 1.00000, 1.00000, 0.96031, 0.83946, 0.31037, 0.18268, 0.85214, 1.00000, 1.00000, 1.00000
